procs,n,time,iters,converged
4,2048,0.006882905960083008,3,1
2,2048,0.013366937637329102,3,1
4,2048,0.006740093231201172,3,1
2,2048,0.012662172317504883,3,1
4,2048,0.0068590641021728516,3,1
8,2048,0.004342794418334961,3,1
2,2048,0.01403498649597168,3,1
4,2048,0.0071010589599609375,3,1
2,2048,0.015349149703979492,3,1
4,2048,0.0068759918212890625,3,1
8,2048,0.00448298454284668,3,1
2,2048,0.01265096664428711,3,1
4,2048,0.006876945495605469,3,1
2,2048,0.015944957733154297,3,1
4,2048,0.006782054901123047,3,1
8,2048,0.004430055618286133,3,1
2,2048,0.011855125427246094,3,1
4,2048,0.0070459842681884766,3,1
2,2048,0.015719175338745117,3,1
4,2048,0.006824970245361328,3,1
8,2048,0.004350900650024414,3,1
2,2048,0.01577305793762207,3,1
4,2048,0.0068149566650390625,3,1
2,2048,0.012309074401855469,3,1
4,2048,0.006818056106567383,3,1
8,2048,0.004175901412963867,3,1
2,2048,0.014485836029052734,3,1
4,2048,0.006719112396240234,3,1
4,2048,0.006943941116333008,3,1
2,2048,0.014688968658447266,3,1
8,2048,0.004472017288208008,3,1
4,2048,0.006905078887939453,3,1
2,2048,0.014955997467041016,3,1
2,2048,0.01540994644165039,3,1
4,2048,0.006827116012573242,3,1
8,2048,0.004187822341918945,3,1
4,2048,0.006890058517456055,3,1
2,2048,0.012166976928710938,3,1
4,2048,0.00701594352722168,3,1
2,2048,0.01246786117553711,3,1
8,2048,0.006720066070556641,3,1
2,2048,0.015053033828735352,3,1
4,2048,0.006837129592895508,3,1
2,2048,0.012382030487060547,3,1
4,2048,0.006696939468383789,3,1
8,2048,0.00439906120300293,3,1
2,2048,0.0119781494140625,3,1
4,2048,0.006887912750244141,3,1
2,2048,0.011657953262329102,3,1
4,2048,0.0070879459381103516,3,1
2,2048,0.012227058410644531,3,1
8,2048,0.0045049190521240234,3,1
4,2048,0.006672859191894531,3,1
2,2048,0.012270927429199219,3,1
4,2048,0.0068280696868896484,3,1
2,2048,0.015341997146606445,3,1
8,2048,0.004137992858886719,3,1
4,2048,0.0067598819732666016,3,1
2,2048,0.013704061508178711,3,1
4,2048,0.0068759918212890625,3,1
2,2048,0.01672506332397461,3,1
8,2048,0.004261970520019531,3,1
4,2048,0.00669097900390625,3,1
2,2048,0.013108968734741211,3,1
4,2048,0.006872892379760742,3,1
2,2048,0.012953996658325195,3,1
4,2048,0.006659030914306641,3,1
8,2048,0.004327058792114258,3,1
2,2048,0.01543283462524414,3,1
4,2048,0.006837129592895508,3,1
2,2048,0.01182699203491211,3,1
4,2048,0.007064104080200195,3,1
8,2048,0.004621028900146484,3,1
2,2048,0.012053966522216797,3,1
4,2048,0.007155179977416992,3,1
2,2048,0.013092994689941406,3,1
8,2048,0.004256010055541992,3,1
4,2048,0.006821155548095703,3,1
2,2048,0.012102842330932617,3,1
4,2048,0.006971120834350586,3,1
2,2048,0.016277074813842773,3,1
4,2048,0.00664520263671875,3,1
16,2048,0.007655143737792969,3,1
8,2048,0.004246950149536133,3,1
2,2048,0.011794090270996094,3,1
4,2048,0.0068471431732177734,3,1
2,2048,0.014972209930419922,3,1
4,2048,0.006880044937133789,3,1
8,2048,0.0045621395111083984,3,1
16,2048,0.0032460689544677734,3,1
2,2048,0.012336969375610352,3,1
4,2048,0.006975889205932617,3,1
4,2048,0.006824970245361328,3,1
2,2048,0.015455007553100586,3,1
8,2048,0.004125118255615234,3,1
16,2048,0.007360935211181641,3,1
4,2048,0.006680011749267578,3,1
2,2048,0.015819787979125977,3,1
4,2048,0.007007122039794922,3,1
8,2048,0.0042459964752197266,3,1
16,2048,0.002691984176635742,3,1
4,2048,0.0069921016693115234,3,1
4,2048,0.006737947463989258,3,1
8,2048,0.004181861877441406,3,1
4,2048,0.006894826889038086,3,1
16,2048,0.005995988845825195,3,1
4,2048,0.007007122039794922,3,1
8,2048,0.0043659210205078125,3,1
4,2048,0.006947040557861328,3,1
16,2048,0.002714872360229492,3,1
4,2048,0.006762027740478516,3,1
8,2048,0.0045239925384521484,3,1
4,2048,0.0069789886474609375,3,1
16,2048,0.0029840469360351562,3,1
4,2048,0.006782054901123047,3,1
8,2048,0.004617929458618164,3,1
4,2048,0.007082939147949219,3,1
16,2048,0.007103919982910156,3,1
4,2048,0.006875038146972656,3,1
8,2048,0.0042591094970703125,3,1
4,2048,0.006952047348022461,3,1
16,2048,0.004609107971191406,3,1
8,2048,0.004495859146118164,3,1
16,2048,0.0072062015533447266,3,1
8,2048,0.004381895065307617,3,1
16,2048,0.0027129650115966797,3,1
8,2048,0.0040988922119140625,3,1
16,2048,0.0044040679931640625,3,1
8,2048,0.004480123519897461,3,1
16,2048,0.0027680397033691406,3,1
8,2048,0.004489898681640625,3,1
8,2048,0.0043261051177978516,3,1
16,2048,0.003031015396118164,3,1
8,2048,0.004121065139770508,3,1
16,2048,0.0067729949951171875,3,1
8,2048,0.0046100616455078125,3,1
16,2048,0.004542112350463867,3,1
8,2048,0.004458904266357422,3,1
16,2048,0.003535032272338867,3,1
8,2048,0.0044918060302734375,3,1
16,2048,0.0026390552520751953,3,1
8,2048,0.004275798797607422,3,1
16,2048,0.0051670074462890625,3,1
8,2048,0.004445791244506836,3,1
16,2048,0.0041849613189697266,3,1
8,2048,0.004273891448974609,3,1
16,2048,0.004974842071533203,3,1
8,2048,0.004534006118774414,3,1
16,2048,0.0032618045806884766,3,1
8,2048,0.0042951107025146484,3,1
16,2048,0.004709005355834961,3,1
8,2048,0.00416111946105957,3,1
8,2048,0.004089832305908203,3,1
16,2048,0.0030519962310791016,3,1
8,2048,0.004373073577880859,3,1
16,2048,0.002895832061767578,3,1
8,2048,0.004396915435791016,3,1
