n,time,iters,converged
3000,0.18423771858215332,8,1
5250,1.0480825901031494,47,1
3000,0.10434126853942871,5,1
5250,0.2700464725494385,9,1
3000,0.10314321517944336,5,1
5250,0.26442694664001465,10,1
3000,0.15138888359069824,5,1
3000,0.1159820556640625,5,1
5250,0.3422079086303711,6,1
3000,0.2011241912841797,9,1
5250,0.25418663024902344,9,1
3000,0.49358367919921875,41,1
5250,0.3471798896789551,9,1
3000,0.09074974060058594,4,1
5250,0.32969141006469727,12,1
3000,0.20212006568908691,5,1
5250,0.1959233283996582,6,1
3000,0.10206270217895508,5,1
5250,0.25244140625,6,1
3000,0.3269791603088379,14,1
5250,0.1672077178955078,5,1
3000,0.2314763069152832,16,1
3000,0.20008540153503418,4,1
5250,0.42504310607910156,9,1
3000,0.1515977382659912,10,1
5250,0.34045958518981934,12,1
3000,0.09821653366088867,4,1
400,0.014345407485961914,2,1
5250,0.2984781265258789,11,1
400,0.013726234436035156,2,1
3000,0.3118247985839844,25,1
5250,0.5120303630828857,12,1
400,0.016100168228149414,3,1
3000,0.2816801071166992,13,1
400,0.016230106353759766,2,1
5250,0.19747662544250488,6,1
3000,0.131317138671875,7,1
400,0.01533651351928711,2,1
5250,0.38547348976135254,8,1
400,0.017942190170288086,3,1
5250,0.3382229804992676,13,1
400,0.013158321380615234,2,1
400,0.012254476547241211,2,1
5250,0.3363349437713623,14,1
400,0.015537738800048828,3,1
5250,0.44507288932800293,15,1
400,0.01275491714477539,2,1
400,0.014214754104614258,3,1
5250,0.3717310428619385,15,1
400,0.01484823226928711,3,1
5250,0.2942936420440674,7,1
400,0.016932249069213867,3,1
400,0.014528512954711914,2,1
5250,0.32088518142700195,10,1
400,0.015053510665893555,3,1
5250,0.346926212310791,14,1
400,0.017136573791503906,3,1
400,0.015736103057861328,2,1
5250,0.3390192985534668,7,1
400,0.015215396881103516,3,1
5250,0.2536509037017822,9,1
400,0.013115167617797852,2,1
400,0.012639522552490234,3,1
5250,0.3518519401550293,11,1
400,0.013208389282226562,2,1
5250,0.3531031608581543,12,1
400,0.01690816879272461,3,1
5250,0.20735502243041992,7,1
400,0.014333963394165039,2,1
5250,0.4220316410064697,13,1
400,0.01168370246887207,2,1
400,0.013419151306152344,2,1
5250,0.3527512550354004,11,1
400,0.017093181610107422,4,1
400,0.01412057876586914,2,1
5250,0.40453481674194336,16,1
400,0.01667022705078125,4,1
5250,0.5161559581756592,16,1
400,0.012306690216064453,2,1
400,0.014770984649658203,3,1
5250,0.2538590431213379,8,1
400,0.013298988342285156,2,1
5250,0.4146440029144287,16,1
400,0.014055490493774414,3,1
5250,0.40961575508117676,14,1
400,0.01250910758972168,2,1
400,0.012208938598632812,2,1
5250,0.2706279754638672,10,1
400,0.013067245483398438,2,1
5250,0.21656107902526855,6,1
400,0.012402772903442383,2,1
400,0.016761064529418945,3,1
5250,0.3388047218322754,13,1
400,0.014376401901245117,2,1
5250,0.24433660507202148,6,1
400,0.013926506042480469,3,1
400,0.030385494232177734,12,1
5250,0.43919825553894043,18,1
400,0.01524972915649414,3,1
5250,0.2147369384765625,7,1
400,0.01583409309387207,2,1
400,0.017175912857055664,3,1
400,0.014869451522827148,3,1
400,0.017382144927978516,3,1
400,0.015608072280883789,2,1
400,0.016083955764770508,3,1
400,0.015357017517089844,2,1
400,0.012280464172363281,2,1
400,0.011143684387207031,2,1
400,0.015374422073364258,4,1
400,0.015156745910644531,3,1
400,0.013945341110229492,3,1
400,0.014320850372314453,3,1
400,0.015764474868774414,3,1
400,0.010408163070678711,1,1
400,0.014537811279296875,3,1
400,0.027768373489379883,9,1
400,0.017568111419677734,3,1
400,0.015731334686279297,3,1
400,0.012608051300048828,2,1
400,0.012790203094482422,2,1
400,0.01494145393371582,2,1
400,0.012338876724243164,2,1
400,0.01263570785522461,2,1
400,0.015340089797973633,2,1
400,0.015184640884399414,3,1
400,0.015069007873535156,3,1
400,0.01593756675720215,2,1
400,0.014870166778564453,3,1
400,0.015993833541870117,3,1
400,0.013415813446044922,3,1
400,0.017781734466552734,3,1
400,0.014399528503417969,3,1
400,0.014056921005249023,2,1
400,0.01623225212097168,2,1
400,0.012330770492553711,2,1
400,0.012803316116333008,2,1
400,0.012750864028930664,2,1
400,0.015401363372802734,3,1
400,0.012343168258666992,2,1
400,0.01729893684387207,3,1
400,0.011863231658935547,2,1
400,0.013898611068725586,2,1
400,0.014965295791625977,2,1
400,0.0158536434173584,3,1
400,0.015427350997924805,3,1
400,0.015024662017822266,3,1
400,0.016595125198364258,3,1
400,0.014298200607299805,2,1
400,0.014989376068115234,2,1
400,0.013321876525878906,2,1
400,0.01843881607055664,4,1
400,0.0160067081451416,3,1
400,0.013801813125610352,3,1
400,0.012471199035644531,2,1
400,0.016882658004760742,3,1
400,0.016664743423461914,3,1
400,0.013536930084228516,2,1
400,0.014943361282348633,3,1
